Movie_Name,Genre,Duration,Ratings,Voting_counts
Ready or Not (Dot),Mystery,1h 14m,N/A,N/A
What Lies Within,Mystery,1h 30m,5.2,13
Dai jia fa de ren,Mystery,2h 1m,5.5,67
Family Guy Plush: Peter Is Afraid,Mystery,1h 49m,N/A,N/A
Xiang Xi Gui Shi,Mystery,1h 12m,N/A,N/A
Dead Boys Club,Mystery,1h 45m,6.3,26
Aliens Uncovered: UFOs Over Arizona,Mystery,1h 56m,6.4,23
Artificial Evil Awakens,Mystery,1h 3m,9.1,12
La volpe e l'uva,Mystery,1h 45m,N/A,N/A
Der Bote,Mystery,51m,8.6,9
Clownface 3,Mystery,1h 44m,8.2,58
Ithuvare,Mystery,2h 9m,5.4,28
Aranyar Prachin Probad,Mystery,2h 3m,6.6,17
Fragmentos de Olvido,Mystery,1h 34m,N/A,N/A
Aquele que Viu o Abismo,Mystery,1h 10m,N/A,N/A
Tranquility: Ghost Stories,Mystery,1h 28m,7.6,53
Corridor,Mystery,1h 48m,5.9,10
Husna,Mystery,2h 30m,N/A,N/A
El Portal,Mystery,N/A,N/A,N/A
Ictus: Paciente Cero,Mystery,N/A,N/A,N/A
Going South,Mystery,1h 22m,N/A,N/A
The Whisper Within the Woods,Mystery,N/A,7.7,27
Sathaan,Mystery,N/A,N/A,N/A
Rukhwat,Mystery,1h 57m,7.6,10
All Suspects,Mystery,1h 36m,3.7,21
In Unison,Mystery,1h 40m,N/A,N/A
Mion,Mystery,1h 6m,N/A,N/A
Midnight at the Limbo Lounge,Mystery,N/A,N/A,N/A
Saka Perawan,Mystery,1h 31m,5.1,57
Satham Indri Mutham Tha,Mystery,1h 47m,6.9,1.2K
Grayson's Encounter,Mystery,1h 10m,7.0,23
American Dirge,Mystery,1h 21m,9.7,6
Homeboy,Mystery,N/A,6.5,23
Perfumed with Mint,Mystery,1h 51m,6.2,28
Thy Will Be Done,Mystery,1h 38m,N/A,N/A
Barzakh,Mystery,1h 24m,N/A,N/A
Hood Safari,Mystery,1h 11m,N/A,N/A
When Autumn Comes,Mystery,1h 21m,N/A,N/A
Treasures of Terror: Vol 2,Mystery,N/A,3.8,13
The Washer,Mystery,1h 30m,7.1,11
Vikaasaparva,Mystery,2h 14m,8.4,545
Yao guai sen lin,Mystery,1h 26m,6.3,7
Regina,Mystery,1h 15m,N/A,N/A
Socker 2: Old Pals,Mystery,2h 30m,N/A,N/A
Perpetuate the Beast,Mystery,N/A,N/A,N/A
Tilottoma,Mystery,1h 38m,8.2,30
Tatkshan,Mystery,N/A,8.4,22
Aladiner Prodeepe Jevabe Doittyo Elo,Mystery,50m,8.6,10
Once Upon a Time in China,Mystery,1h 22m,N/A,N/A
Aru Tozasareta Yuki no Sanso de,Mystery,1h 49m,5.1,150
Oro Negro,Mystery,N/A,N/A,N/A
Hypno,Mystery,1h 15m,N/A,N/A
7 Vidas,Mystery,1h 20m,N/A,N/A
The Gray Girl,Mystery,1h 20m,N/A,N/A
Pop the Pickel,Mystery,1h 20m,N/A,N/A
Problematic Intentions,Mystery,1h 30m,4.6,15
Strange Magick,Mystery,1h 28m,N/A,N/A
A kiút,Mystery,47m,9.6,60
The Stranger,Mystery,1h 40m,7.5,9
Maid to Kill,Mystery,1h 31m,N/A,N/A
Green,Mystery,N/A,N/A,N/A
Apatiya,Mystery,N/A,6.9,53
Transmedium: Fastmovers & USOs,Mystery,1h 53m,6.5,41
Moyurakkhi,Mystery,1h 36m,8.3,6
Wei Xian Zheng Ju,Mystery,N/A,N/A,N/A
Pisara - Mystery Within Mystery,Mystery,N/A,8.8,6
Bhediya: The Hunter,Mystery,2h 5m,N/A,N/A
Widowbird,Mystery,1h 25m,N/A,N/A
Cloud Chamber,Mystery,1h 54m,N/A,N/A
Bambara Wasanthe,Mystery,1h 41m,7.5,6
Vmeste navsegda,Mystery,1h 33m,8.5,8
Leatherbound,Mystery,N/A,8.0,8
History of Halloween,Mystery,48m,N/A,N/A
Bahirbhoomi,Mystery,2h,4.0,1.1K
Mezhdu nami,Mystery,1h 33m,5.2,40
A Coffin of Stars,Mystery,1h 40m,5.2,6
A Girl Upstairs,Mystery,1h 30m,6.2,50
Mother's Kingdom,Mystery,1h 37m,6.8,14
Vypusti menya,Mystery,1h 18m,6.6,33
"Rapunzel, El Perro y El Brujo",Mystery,1h 49m,7.6,22
Two Girls,Mystery,1h 28m,N/A,N/A
Mystic Odyssey,Mystery,2h 24m,N/A,N/A
Yaa Devi Sarva Bhuteshu,Mystery,1h 59m,8.7,9
A Loose Skeleton,Mystery,1h 15m,N/A,N/A
The Mini Lights,Mystery,1h 20m,N/A,N/A
Spectre: Shadow Night,Mystery,N/A,N/A,N/A
Umbral,Mystery,N/A,N/A,N/A
