Movie_Name,Genre,Duration,Ratings,Voting_counts
Psycho City: The Movie,Animation,1h 57m,N/A,N/A
Inazuma Eleven the Movie: Prologue to the New Heroes,Animation,N/A,7.0,9
Rudra & Return of King Makoonga,Animation,45m,N/A,N/A
Bear Kid: Super Hero,Animation,1h 20m,N/A,N/A
Riki Rhino: The Bird Kingdom,Animation,1h 49m,5.1,26
Cluedo,Animation,1h 18m,N/A,N/A
Isle: Alpha One,Animation,1h 37m,8.7,9
Black Butterflies,Animation,N/A,N/A,N/A
Mobile Suit Gundam: Silver Phantom,Animation,1h 30m,6.1,14
Kaptan Pengu ve Arkadaslari 4: Buzuldaki Sir,Animation,N/A,5.3,14
Be Forever Yamato: Rebel 3199: Part 2: The Assault of the Burning Sun,Animation,1h 37m,N/A,N/A
Bartali's Bicycle,Animation,1h 20m,7.5,10
Let's Go! Anpanman: Baikinman and Lulun,Animation,1h 4m,6.5,9
Code Geass: Rozé of the Recapture: Part 4,Animation,1h 10m,6.6,19
Le mystère de Waza,Animation,N/A,N/A,N/A
Abá e Sua Banda,Animation,1h 24m,7.2,23
Animal Adventures: Save the Forest,Animation,1h 25m,7.5,35
Sufunkan no Yell o,Animation,N/A,8.0,8
Papercuts - My Life as an Indie Animator,Animation,1h 27m,N/A,N/A
Return,Animation,1h 30m,N/A,N/A
Bizarros Peixes das Fossas Abissais,Animation,1h 15m,7.6,16
Velký Pán,Animation,1h 13m,6.8,11
King of Prism: Dramatic Prism 1,Animation,1h,N/A,N/A
People Power,Animation,1h 24m,N/A,N/A
Gujeyeog-eseo sal-a dol-aon dwaeji,Animation,1h 45m,5.0,15
The Puffins & the Magic Portal,Animation,N/A,7.9,39
Harmonie,Animation,1h 14m,N/A,N/A
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,Animation,1h 11m,6.5,43
Arne Alligator och djungelkompisarna,Animation,1h 1m,4.6,54
Yao guai sen lin,Animation,1h 26m,6.3,7
The Summer of Mermaid,Animation,N/A,7.1,110
Despierta tu alma,Animation,N/A,N/A,N/A
Tobia e i colori del mondo,Animation,N/A,3.1,9
Dance with the Finless Promise,Animation,N/A,6.0,22
Eiga Oshiri Tantei Saraba Itoshiki Aibô (Oshiri) yo,Animation,1h 11m,N/A,N/A
Cacophony the Animated Movie,Animation,1h 21m,N/A,N/A
The Delegator,Animation,1h 36m,3.8,19
Rabbits Kingdom the Movie,Animation,1h 34m,N/A,N/A
