Movie_Name,Genre,Duration,Ratings,Voting_counts
Güzel Bir Rüya,Adventure,1h 19m,4.7,50
Powder Pup,Adventure,1h 29m,5.9,87
Minecraft But I Survive Again in Parkour Civilization,Adventure,1h 54m,8.9,50
Captain Avispa,Adventure,1h 36m,5.7,183
Dead Dead Demon's Dededede Destruction,Adventure,2h,7.0,149
Hain,Adventure,1h 35m,3.0,52
Yaren Leylek,Adventure,1h 35m,5.1,40
Igrisca ne damo!,Adventure,1h 19m,6.5,36
Dreams,Adventure,1h 46m,6.4,13
Tipppsy,Adventure,1h 55m,8.1,34
Tokusou Sentai Dekaranger 20th: Fireball Booster,Adventure,50m,7.1,41
Jathara,Adventure,2h 9m,6.4,1.1K
Heavens: The Boy and His Robot,Adventure,1h 38m,7.1,35
The Artifact,Adventure,1h 48m,N/A,N/A
Ne odna doma,Adventure,1h 19m,3.3,118
Game of Death: The Six Doors to Hell,Adventure,2h 25m,6.7,8
Get Close 2,Adventure,N/A,5.7,47
Kade,Adventure,1h 32m,6.4,19
The Last of Us: Immunity,Adventure,1h 4m,4.3,33
Orango,Adventure,1h 34m,7.3,75
"Silex and the City, le film",Adventure,1h 17m,4.9,60
Colour Palette,Adventure,1h 27m,9.4,53
My Redneck Neighbor: Chapter 1 - The Rednecks Are Coming,Adventure,1h 14m,5.3,12
Mountain Boy,Adventure,1h 33m,8.0,30
Cândido,Adventure,1h 39m,6.4,70
Dead Dead Demon's Dededede Destruction Koushou,Adventure,2h,7.0,158
Triple 7: They Said It Couldn't Be Done,Adventure,1h 37m,8.6,15
Letuchiy korabl,Adventure,1h 40m,3.3,414
Bam!,Adventure,1h 20m,7.1,31
Seeking the King,Adventure,N/A,6.1,8
Masha and the Bear. Wonder Park,Adventure,58m,7.2,23
The Bigfoot Prophecy,Adventure,1h 57m,4.8,23
The Umbrella Fairy,Adventure,1h 35m,5.7,63
Dikkie Dik 2: Een Nieuwe Vriend voor Dikkie Dik,Adventure,1h 10m,7.3,85
Friendly Fire,Adventure,1h 45m,6.1,72
Dikkie Dik en de Verdwenen Knuffel,Adventure,1h 2m,7.2,136
Manyunya. Priklyucheniya v derevne,Adventure,1h 24m,5.7,126
Road to Dreamland,Adventure,1h 30m,N/A,N/A
Uttarakaanda,Adventure,N/A,N/A,N/A
All the Way to the Eendless,Adventure,1h 30m,N/A,N/A
Tapori Nayak,Adventure,N/A,8.6,19
Abudeka Is Back,Adventure,2h,5.5,55
Advent,Adventure,1h 59m,7.5,6
Lo carga el diablo,Adventure,1h 43m,7.7,31
Luigi's Mansion,Adventure,1h,5.9,20
Two Breaths,Adventure,18m,8.0,56
Piraty galaktiki Barrakuda,Adventure,1h 32m,4.5,93
This Land of Mine,Adventure,1h 30m,4.5,38
Kral Sakir: Devler Uyandi,Adventure,N/A,5.3,72
Tur s Ivanushkami,Adventure,1h 51m,5.3,170
The Sasqualogist,Adventure,1h 29m,N/A,N/A
Samaya bolshaya luna,Adventure,1h 45m,2.4,146
Cursed Waters: Creature of Lake Okanagan,Adventure,N/A,6.8,7
Jaunt,Adventure,1h 18m,8.7,8
De Legende van Familie Vos,Adventure,1h 21m,5.6,61
Oyunda Kal: Eglence Arenasi,Adventure,1h 32m,2.4,42
Longe da Estrada,Adventure,1h 8m,6.0,9
STEVE (A Minecraft Movie),Adventure,1h 1m,6.9,14
Príncipe Lu e a Lenda do Dragão,Adventure,1h 30m,4.1,29
Tay 2: Ebabil Takimi,Adventure,1h 18m,4.9,46
Penelope & Everly's Holiday Adventure,Adventure,N/A,9.2,5
Ice Maiden,Adventure,1h 30m,8.6,89
The Apples Gang: The Movie by Wright,Adventure,N/A,N/A,N/A
The 9th Raider,Adventure,1h 45m,N/A,N/A
Nature Cat's Nature Movie Special Extraordinaire,Adventure,53m,7.1,22
Ivan Tsarevich i Seryy Volk 6,Adventure,1h 25m,5.3,116
Mesken (Messuage),Adventure,1h 39m,6.8,51
Anytime,Adventure,1h 2m,8.9,26
Old Wild Mob,Adventure,N/A,N/A,N/A
La Familia del Barrio: La Película,Adventure,N/A,5.3,8
Spooky Society,Adventure,N/A,N/A,N/A
Joachim and the Apocalypse,Adventure,1h 30m,7.7,17
The Blinkless,Adventure,59m,6.4,20
Big Water Theory,Adventure,1h 23m,7.3,15
Satu - Year of the Rabbit,Adventure,1h 33m,9.0,61
The Bigfoot prophecy 2,Adventure,1h 58m,N/A,N/A
Elephant Steps,Adventure,N/A,6.9,41
A Christmas Carol,Adventure,39m,9.4,14
La bruja del bosque oscuro,Adventure,1h 32m,N/A,N/A
Alex and Mia's Awesome Movie!!,Adventure,1h 15m,N/A,N/A
Dans l'ombre de Marlow,Adventure,1h 20m,N/A,N/A
Dracu Ra,Adventure,1h 46m,5.6,47
Vasilisa i khraniteli vremeni,Adventure,1h 38m,2.9,87
The Eye of the Salamander,Adventure,1h 21m,6.0,46
Manyunya. Priklyucheniya v Moskve,Adventure,1h 27m,5.6,117
Pui Pui Molcar the Movie: Molmax,Adventure,1h 9m,6.4,22
The Very Last Christmas,Adventure,1h 15m,8.6,12
The Seed,Adventure,1h 40m,N/A,N/A
Life with Quincy 3,Adventure,1h 13m,N/A,N/A
Beyond existence,Adventure,1h 35m,4.1,23
Boom!,Adventure,1h 30m,7.9,13
Chernyy zamok,Adventure,1h 55m,5.1,67
Son of the Wolf,Adventure,1h 22m,3.7,7
The Lost Colony,Adventure,N/A,N/A,N/A
No More Trouble - Cosa rimane di una tempesta,Adventure,1h 37m,8.4,23
Il ricercatore,Adventure,1h 11m,6.4,9
Ognivo,Adventure,1h 45m,5.4,263
Adam i Eva,Adventure,1h 35m,5.1,97
Sathur: Part1,Adventure,N/A,N/A,N/A
Cazatesoros,Adventure,1h 46m,6.5,31
"Fallen Leaves, Broken Lighters",Adventure,1h 36m,7.7,9
Treasure Fellowship,Adventure,1h 26m,N/A,N/A
Shadows of Betrayal: Chronicles of Ian Blair,Adventure,1h 5m,7.3,17
Petualangan Anak Penangkap Hantu,Adventure,1h 39m,5.7,28
Mera Number Beess,Adventure,1h 49m,N/A,N/A
Tri bogatyrya. Ni dnya bez podviga,Adventure,1h 1m,5.8,93
The Yoshi Movie,Adventure,1h 45m,8.1,15
Wonderland,Adventure,2h,6.8,13
Tales from the Table,Adventure,N/A,2.0,5
Bar MoskvaChiki,Adventure,1h 31m,4.4,114
23 Horas,Adventure,N/A,7.0,21
Dragon Gate Inn,Adventure,1h 30m,N/A,N/A
The Puffins: Arctic Games,Adventure,N/A,8.1,10
Suchana,Adventure,1h 30m,8.7,511
Tri kota. Zimnie kanikuly,Adventure,1h 5m,6.3,38
Operation Wakaliga: Fate and Blood,Adventure,1h 6m,6.7,12
Changle zhen gui shi,Adventure,1h 28m,N/A,N/A
Shanghai Story,Adventure,1h 11m,7.9,67
The Last Five Days: The Freak Building,Adventure,1h 1m,3.7,60
The Cold Father,Adventure,N/A,6.8,20
Montis Momentum,Adventure,N/A,N/A,N/A
Bear Kid: Super Hero,Adventure,1h 20m,N/A,N/A
Hope & Glory,Adventure,44m,6.6,153
Water Park,Adventure,25m,N/A,N/A
Whites Only: Ade's Extremist Adventure,Adventure,1h 5m,6.7,30
Isle: Alpha One,Adventure,1h 37m,8.7,9
L'amore che conosco,Adventure,1h 18m,N/A,N/A
Hyacinthe,Adventure,N/A,N/A,N/A
"Women, Dreams and Bread",Adventure,N/A,N/A,N/A
Troy the Bharat Putra,Adventure,2h 14m,5.2,34
Xiang Xi Gui Shi,Adventure,1h 12m,N/A,N/A
Bratya,Adventure,1h 43m,2.8,140
Mobile Suit Gundam: Silver Phantom,Adventure,1h 30m,6.1,14
Moy lyubimyy chempion,Adventure,1h 35m,2.3,423
Antarctic Voyage,Adventure,48m,7.7,12
Mortadella,Adventure,1h 30m,8.4,8
Baba Yaga spasaet Novyy god,Adventure,1h 39m,4.4,136
Let's Go! Anpanman: Baikinman and Lulun,Adventure,1h 4m,6.5,9
The Last Survivor,Adventure,1h 55m,N/A,N/A
Emma,Adventure,1h 30m,N/A,N/A
EP Break the Multiverse,Adventure,1h 16m,N/A,N/A
Once upon a bridge in Vietnam,Adventure,52m,N/A,N/A
Le mystère de Waza,Adventure,N/A,N/A,N/A
Abá e Sua Banda,Adventure,1h 24m,7.2,23
Xin Longmen kezhan,Adventure,1h 13m,2.9,7
Art Work,Adventure,1h 31m,N/A,N/A
Dogman Territory: Werewolves in the Land Between the Lakes,Adventure,N/A,5.6,37
Era Oculta,Adventure,1h 20m,N/A,N/A
Return,Adventure,1h 30m,N/A,N/A
Socks,Adventure,2h,N/A,N/A
A New Dawn,Adventure,1h,N/A,N/A
The Puffins & the Magic Portal,Adventure,N/A,7.9,39
The Ghost of Annie Lee,Adventure,1h 43m,4.8,5
Harmonie,Adventure,1h 14m,N/A,N/A
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,Adventure,1h 11m,6.5,43
Luccas e Gi em: Dinossauros,Adventure,1h 31m,3.5,28
Vikaasaparva,Adventure,2h 14m,8.4,545
Yao guai sen lin,Adventure,1h 26m,6.3,7
Socker 2: Old Pals,Adventure,2h 30m,N/A,N/A
Jackpot,Adventure,N/A,N/A,N/A
Dandelion,Adventure,1h 35m,8.9,9
Tobia e i colori del mondo,Adventure,N/A,3.1,9
Banana Boat,Adventure,1h 18m,5.5,24
Frankenstein Theater: The Magic Sword,Adventure,1h 22m,4.1,25
Across America,Adventure,48m,N/A,N/A
Oro Negro,Adventure,N/A,N/A,N/A
Pirates & Slaves,Adventure,53m,5.8,6
StarGazer: The Need of the Many,Adventure,47m,4.6,14
Cacophony the Animated Movie,Adventure,1h 21m,N/A,N/A
Goodbye Hamdi,Adventure,1h 25m,6.6,12
Zoloto Umalty,Adventure,1h 49m,4.9,116
The Farm,Adventure,1h 44m,N/A,N/A
The Lost Coast,Adventure,N/A,N/A,N/A
Yasmeen's Element,Adventure,1h 16m,7.6,22
Nothing Unusual,Adventure,1h 32m,8.8,13
Altered,Adventure,N/A,N/A,N/A
Wild Boys,Adventure,1h 59m,N/A,N/A
I racconti del mare,Adventure,1h 29m,N/A,N/A
Novyy god v Beryozovke,Adventure,1h 34m,7.0,105
Famous Patrick (A Super SpongeBob Fan Movie),Adventure,53m,9.3,29
Target Jeremy,Adventure,N/A,N/A,N/A
QAnon Avenue,Adventure,57m,8.7,10
Abar Arownne Din Ratri,Adventure,1h 51m,8.0,9
Spider-Man: Blue,Adventure,N/A,5.8,12
Nijari,Adventure,1h 46m,N/A,N/A
