Movie_Name,Genre,Duration,Ratings,Voting_counts
Frida Khalo Woman Experiences,Biography,N/A,N/A,N/A
Dushu,Biography,1h 36m,N/A,N/A
Hancsovszky,Biography,N/A,7.8,21
A Almería de Leone,Biography,51m,N/A,N/A
"José Lifante, mi aventura en el cine",Biography,1h 25m,N/A,N/A
Si dice di me,Biography,1h 8m,N/A,N/A
Jack in the Box,Biography,45m,N/A,N/A
Dulcinea,Biography,N/A,N/A,N/A
A modo mio - Patty Pravo,Biography,N/A,N/A,N/A
Luis Terror Días,Biography,N/A,N/A,N/A
"Dolly Parton: Bigger Hair, Bigger Heart",Biography,1h,7.2,14
Nebesko,Biography,1h 13m,5.1,11
Our Place Is Here,Biography,54m,N/A,N/A
Bad Bunny: Global Takeover,Biography,1h,N/A,N/A
It'll Never Work,Biography,57m,9.6,31
Boy,Biography,N/A,N/A,N/A
Jestem postacia fikcyjna,Biography,1h 15m,N/A,N/A
Sognare è vivere - La leggenda di Porto Rafael,Biography,N/A,N/A,N/A
La valanga azzurra,Biography,1h 30m,7.8,12
COMA,Biography,1h 20m,8.7,14
The Real RFK Jr.,Biography,N/A,N/A,N/A
The West Sky,Biography,N/A,5.1,148
Simply Johanne,Biography,1h 15m,N/A,N/A
Saint Pio of Pietrelcina - Man of Hope and Healing,Biography,N/A,N/A,N/A
Roughneck,Biography,N/A,N/A,N/A
She Dances by the Sea,Biography,1h 47m,N/A,N/A
Parvin,Biography,N/A,5.5,51
La verità è nuda,Biography,N/A,N/A,N/A
"Love, Blood, & Aztec Demons: The Lost Films of Juan F. Moctezuma II",Biography,1h 34m,N/A,N/A
Shaking It Up: The Life and Times of Liz Carpenter,Biography,1h 17m,8.0,10
La couleur dans les mains,Biography,1h 26m,N/A,N/A
Brev til Håkon Banken,Biography,1h 20m,8.2,30
"Lupicinio Rodrigues, Confissões de um Sofredor",Biography,1h 39m,7.4,7
The Leader,Biography,55m,N/A,N/A
MAGA 1909,Biography,1h 1m,N/A,N/A
Livio Garzanti: Il gran viziato - La morale nascosta di un editore formidabile,Biography,1h 15m,N/A,N/A
El Chilote: Gloria del Béisbol Dominicano,Biography,1h 15m,N/A,N/A
Can You Say... Looking?,Biography,1h 29m,N/A,N/A
Qajymuqan,Biography,N/A,4.5,10
Bob Noto - The World's Finest Palate,Biography,N/A,N/A,N/A
Senza volto - Storia di Fabrizio Maiello,Biography,1h 39m,N/A,N/A
Born Again: George Whitefield,Biography,59m,N/A,N/A
Cutting Squares,Biography,2h 8m,N/A,N/A
Riv i hjertet,Biography,1h 47m,7.2,39
Destiny or Will. Marusia,Biography,N/A,8.8,20
Giannis Spanos: Piso ap' ti markiza,Biography,1h 58m,7.7,21
Sunita,Biography,N/A,9.7,7
I am the girl 3 me and my girlfriend,Biography,N/A,N/A,N/A
Wole Soyinka Eni Ogun,Biography,N/A,N/A,N/A
Vincenzo Nibali - Il 7° campione,Biography,52m,N/A,N/A
