Movie_Name,Genre,Duration,Ratings,Voting_counts
Christmas with the Pups 2: Pups Alone,Family,N/A,3.6,21
When the World Met Miss Probinsyana,Family,2h 35m,9.3,46
Boom!,Family,1h 30m,7.9,13
Hope's Hollywood Christmas,Family,1h 30m,8.7,33
Smotri na menya!,Family,2h,5.7,88
V banyu!,Family,1h 39m,5.1,81
Animal Tales of Christmas Magic,Family,1h 12m,6.8,54
Ognivo,Family,1h 45m,5.4,263
Het Feest van Tante Rita 2 - De Chocobom,Family,1h 24m,6.7,24
The Cheshire Cat,Family,1h 4m,N/A,N/A
Chitti - Potti,Family,2h 30m,9.1,1.7K
SDL A Batalha Musical,Family,1h 42m,7.3,42
Titip Surat Untuk Tuhan,Family,1h 21m,6.5,51
Navardev Bsc. Agri.,Family,N/A,8.5,16
Wedding Diaries,Family,2h 1m,8.8,2K
Vardaan Banal Abhishap Ba Mayee,Family,N/A,N/A,N/A
Flower,Family,N/A,N/A,N/A
Harna,Family,N/A,N/A,N/A
Treasure Fellowship,Family,1h 26m,N/A,N/A
Magic Birds: I magiki pagida,Family,1h 40m,N/A,N/A
Petualangan Anak Penangkap Hantu,Family,1h 39m,5.7,28
Tri bogatyrya. Ni dnya bez podviga,Family,1h 1m,5.8,93
San Francisco Bae,Family,N/A,N/A,N/A
Not a Clue,Family,48m,3.7,32
Home-less for the Holidays,Family,N/A,7.3,14
Indonesia dari Timur,Family,1h 52m,6.7,7
Bigfoot in Wonderland,Family,1h 1m,N/A,N/A
Lokshahi,Family,N/A,7.5,16
Rangeet,Family,N/A,N/A,N/A
Vovó Ninja,Family,1h 36m,5.1,21
Day of the Diesels,Family,1h 40m,6.2,14
The Puffins: Arctic Games,Family,N/A,8.1,10
Amaltash,Family,1h 53m,8.1,162
Last Defenders of Monogamy,Family,1h 24m,5.3,410
"Robotia, the Movie",Family,1h 26m,7.4,35
Tri kota. Zimnie kanikuly,Family,1h 5m,6.3,38
Bayramlik,Family,1h 54m,4.5,71
The Lamb,Family,1h 25m,6.3,56
Double Engine,Family,1h 46m,5.5,117
The Grump's Christmas,Family,1h 5m,N/A,N/A
"Heinähattu, Vilttitossu ja kana",Family,1h 17m,5.0,63
Vozvrashchenie popugaya Keshi,Family,1h 33m,2.5,117
A House Without a Father,Family,1h 1m,5.3,36
Bouer Dosh,Family,N/A,N/A,N/A
Princezna na hrásku,Family,1h 20m,5.6,66
Inazuma Eleven the Movie: Prologue to the New Heroes,Family,N/A,7.0,9
Ani-Mom,Family,1h 5m,N/A,N/A
Papu mame zaverni,Family,1h 46m,3.7,73
Kayip Kamyon,Family,N/A,4.7,26
Troy the Bharat Putra,Family,2h 14m,5.2,34
Childhood Tales,Family,1h 3m,7.2,33
Çocuk Kalbi,Family,N/A,N/A,N/A
Max und die wilde 7: Die Geister-Oma,Family,1h 30m,6.2,50
Khelaghar Bandhte Legechi,Family,1h 40m,7.1,8
Moy lyubimyy chempion,Family,1h 35m,2.3,423
Jugol,Family,49m,N/A,N/A
Padmavyuham Lo Chakradhari,Family,1h 50m,7.1,1.7K
Staying Five Nights at School: The Movie!,Family,N/A,4.8,6
Baba Yaga spasaet Novyy god,Family,1h 39m,4.4,136
Let's Go! Anpanman: Baikinman and Lulun,Family,1h 4m,6.5,9
Neposlushniki,Family,1h 48m,4.7,107
Emma,Family,1h 30m,N/A,N/A
Diwani,Family,N/A,N/A,N/A
Gyani Goni,Family,43m,N/A,N/A
Vishkanya,Family,N/A,N/A,N/A
Odna doma. Velikolepnaya pyatyorka,Family,1h 25m,4.2,41
Le mystère de Waza,Family,N/A,N/A,N/A
Perfekta: Uma Aventura da Escola de Gênios,Family,1h 32m,5.6,20
Return,Family,1h 30m,N/A,N/A
Wholesome Grove,Family,1h 39m,5.1,11
Appa I Love You,Family,2h 25m,8.2,543
Riddhi Siddhi,Family,N/A,N/A,N/A
The Puffins & the Magic Portal,Family,N/A,7.9,39
Chicken Coop,Family,1h 38m,5.8,93
Running Milu Deer,Family,1h 44m,N/A,N/A
Babar Barir Shompotti,Family,N/A,N/A,N/A
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,Family,1h 11m,6.5,43
Romeo and Benvolio,Family,1h 20m,N/A,N/A
Isabella: Diary of A Foster Girl,Family,1h 50m,N/A,N/A
Arne Alligator och djungelkompisarna,Family,1h 1m,4.6,54
Vikaasaparva,Family,2h 14m,8.4,545
Yao guai sen lin,Family,1h 26m,6.3,7
Klaantha,Family,1h 47m,6.0,520
Mastaani,Family,2h 30m,8.8,30
Person of the Year,Family,1h 40m,5.4,13
Paagal vs Kadhal,Family,1h 51m,9.0,2.1K
1600 Meter,Family,1h 46m,N/A,N/A
Iwájú: A Day Ahead,Family,1h 11m,6.6,76
Vindu Bhojanam,Family,1h 43m,7.0,55
Tobia e i colori del mondo,Family,N/A,3.1,9
Superpietonii Zurli,Family,N/A,3.1,52
Haddhu Ledhu Raa,Family,1h 52m,7.1,2K
Lek Asavi Tar Ashi,Family,2h 23m,4.8,15
Once Upon a Christmas,Family,1h 55m,5.8,18
Kokh,Family,N/A,8.4,6
Guru Chela,Family,2h 37m,N/A,N/A
Malyshariki. Den rozhdeniya,Family,52m,6.1,29
Oru Kadha Parayum Neram,Family,N/A,7.6,343
Moyo sobache delo,Family,1h 17m,5.3,51
The Truth: The Journey Within,Family,1h 31m,6.3,10
Idu Entha Lokavayya,Family,2h,5.8,8
Thomas & Friends ERTL Adventures: The Biggest Christmas Adventure,Family,1h 15m,N/A,N/A
Novyy god v Beryozovke,Family,1h 34m,7.0,105
My half,Family,N/A,2.9,11
A Creature Was Stirring,Family,1h 31m,N/A,N/A
Cupcake's,Family,N/A,N/A,N/A
Give You a Candy,Family,2h 14m,6.1,18
Tayna Chyornoy Ruki,Family,1h 24m,5.7,24
Fanzo Movie,Family,1h 44m,5.9,17
The Boy Next Door,Family,1h 29m,N/A,N/A
To the camp - Special squad,Family,N/A,N/A,N/A
Semeynyy perepolokh,Family,1h 27m,4.6,67
The Elf Who Saved Christmas,Family,1h 2m,N/A,N/A
Panne,Family,2h 42m,N/A,N/A
Uparwala & Sons,Family,2h 6m,9.0,323
Mezhdu nami,Family,1h 33m,5.2,40
Tomari Sathe,Family,54m,7.0,9
Raghu Ram,Family,N/A,N/A,N/A
Interview,Family,1h 55m,8.4,9
Fien & Teun Circus op de Boerderij,Family,1h 17m,4.9,15
Her Life Choice,Family,45m,2.4,23
Novogodniy ekspress,Family,47m,6.8,10
Wo de Ye Ye,Family,1h 37m,N/A,N/A
Medicine Man,Family,52m,N/A,N/A
Nosso Amiguinho,Family,1h 40m,7.9,7
Udanadi Mangalyam,Family,1h 30m,2.9,24
Kaagada,Family,2h 29m,8.1,14
Bhabhi Ki Barat,Family,N/A,N/A,N/A
Ram NRI,Family,2h 13m,N/A,N/A
Borjatri,Family,1h 12m,8.4,6
Daddy's Love,Family,N/A,N/A,N/A
Hamar Niyati,Family,2h 19m,N/A,N/A
Novogodnee chudo,Family,1h 13m,5.7,14
We Wish You a Dairy Christmas,Family,N/A,N/A,N/A
Ruthupavanalu (Monsoon Breeze),Family,2h 15m,N/A,N/A
"Salem, SOS-ed!",Family,1h 31m,N/A,N/A
Graphy,Family,33m,N/A,N/A
Nebesko,Family,1h 13m,5.1,11
Our Place Is Here,Family,54m,N/A,N/A
"7 dney, 7 nochey",Family,1h 38m,6.2,414
The Smokey Bear Movie,Family,N/A,N/A,N/A
What a day before Christmas,Family,N/A,N/A,N/A
Sur Lagoo De,Family,N/A,8.4,10
Bitva pap,Family,1h 19m,4.4,26
Bade Ghar Ki Bahu,Family,N/A,8.2,6
The Heiress,Family,2h 11m,N/A,N/A
